ఒక	116359
అని	101571
కూడా	86560
నా	77902
తన	76104
నేను	65616
కాని	48635
అది	48116
ఏ	46689
లేదు	43232
ఆయన	41010
ఇది	39902
మా	38234
ఆమె	37755
అన్నాడు	37513
నీ	37406
మన	36155
చాలా	35373
కాదు	35330
అనే	35152
రెండు	33417
మీద	32938
మీ	32102
వి	31639
నుండి	31589
గురించి	31155
వారి	30706
అంటే	29878
అతని	29852
వారు	29682
ము	29444
ఉన్న	29167
ఉంది	29124
తమ	28542
తెలుగు	28383
మనం	26774
మీరు	25718
కొన్ని	24362
ఓ	24332
కానీ	24225
తరువాత	22993
అయితే	21971
తర్వాత	21085
ముందు	20888
లేదా	20741
వుంది	20344
దాని	19807
అంటూ	19678
పని	19609
ఎంత	19416
చేసి	19401
కోసం	19372
లేక	19085
వచ్చి	19046
లో	18937
చూ	18439
మధ్య	18363
య	18003
అను	17789
ప్రతి	17698
చేసిన	17671
అతను	17552
మాత్రమే	17232
ఎలా	17231
ఉంటుంది	17220
పెద్ద	17053
గాని	17032
గల	17008
ద్వారా	16974
అలా	16939
వచ్చింది	16831
తిరిగి	16640
మంచి	16488
పేరు	16215
చిన్న	16162
శ్రీ	16098
వున్న	15962
నువ్వు	15894
ఇలా	15853
ఇంకా	15693
మాత్రం	15665
అదే	15643
యీ	15504
వచ్చిన	15471
ఇప్పుడు	15104
విధంగా	15095
యొక్క	15039
అన్ని	15022
ఏదో	14910
వారికి	14880
విషయం	14583
మూడు	14463
పై	14209
కాబట్టి	14101
తాను	14084
అంది	14064
బాగా	13670
అక్కడ	13524
మరియు	13456
చూసి	13344
ఎక్కువ	13275
కూడ	13264
అవి	13248
అంత	13129
తను	13099
అప్పుడు	13026
అతడు	12973
అంతా	12880
అయినా	12587
మాట	12531
వాడు	12467
ఇక	12447
మొ	12368
ఎంతో	12343
కదా	12324
అనేక	12253
ఎందుకు	12249
వల్ల	12241
మనకు	12187
దానికి	12146
వలన	11902
అలాగే	11791
మొదటి	11783
వా	11689
వాళ్ళు	11646
మళ్ళీ	11630
దానిని	11621
అతనికి	11474
వరకు	11463
వెంటనే	11449
మరి	11429
అర్థం	11323
లేకుండా	11311
అయిన	11295
జరిగింది	10917
కొంత	10872
అన్న	10789
చేసే	10763
కథ	10732
ఇతర	10701
వాటిని	10697
మీకు	10639
మంది	10538
మరో	10538
దగ్గర	10480
ఒకటి	10395
నీవు	10320
ఇక్కడ	10303
మనిషి	10225
ఉన్నాయి	10099
ఒక్క	10034
చేశారు	9740
లేని	9733
నాలుగు	9720
చెప్పాడు	9680
తనకు	9501
వంటి	9445
ములు	9365
వ్యక్తి	9322
మాటలు	9272
అసలు	9271
తెలుసు	9270
రా	9262
నే	9246
దాన్ని	9207
తప్ప	9161
గొప్ప	9069
వుంటుంది	9031
ప్రభుత్వం	9008
చెందిన	8947
తల్లి	8903
తండ్రి	8885
వెళ్ళి	8859
కలిసి	8858
రాజు	8827
కొందరు	8793
అందరూ	8739
వారిని	8721
ఇవి	8706
వాటి	8689
కొత్త	8603
సంబంధించిన	8592
వివిధ	8592
అందులో	8578
అందుకే	8400
అవసరం	8394
కేవలం	8364
తల	8353
రూ	8347
జరిగిన	8304
మొత్తం	8263
భార్య	8185
చేశాడు	8104
అంటారు	7936
నిన్ను	7927
చరిత్ర	7875
కాలం	7808
కల	7799
కారణం	7776
అన్నారు	7734
కాలంలో	7727
డబ్బు	7702
రోజు	7634
చూస్తూ	7612
ముందుకు	7611
చేయడం	7572
రాజకీయ	7566
రాత్రి	7545
దీని	7524
అడిగాడు	7500
పూర్తిగా	7443
కనుక	7437
కవి	7424
దీనికి	7423
ఏమీ	7363
సమయంలో	7351
వాళ్ళ	7315
యు	7303
ఉంటే	7298
చెప్పి	7153
భాష	7105
ఉంటాయి	7074
ఎప్పుడూ	7054
మే	7007
మును	6960
అనేది	6927
ఎన్నో	6920
శక్తి	6882
భారత	6852
భూమి	6844
ఇంటికి	6827
ఇంత	6821
అట్టి	6820
పాటు	6785
రచయిత	6766
మైన	6762
ప్రేమ	6723
జీవితం	6708
మేము	6699
ప్రజలు	6645
చేసింది	6639
అన్నీ	6636
దీనిని	6615
అనగా	6605
సాహిత్య	6573
డా	6569
ఏమిటి	6559
రు	6559
ప్రధాన	6556
కథలు	6538
భాషా	6502
కలిగి	6479
చెప్పిన	6431
మనసు	6400
విలువ	6389
కాక	6381
సంగతి	6376
ఎక్కువగా	6376
వచ్చాడు	6369
ఉండాలి	6312
ఉన్నారు	6308
ఉన్నది	6307
ఎవరు	6287
యా	6266
ప్రజల	6265
శ్రమ	6233
సామాజిక	6223
విషయంలో	6200
చూశాడు	6193
యి	6182
ప్రకారం	6179
రెండవ	6176
వీరు	6174
అతి	6146
వచ్చే	6118
లేచి	6072
ఆంధ్ర	6062
అవకాశం	6041
అమ్మ	6031
వస్తుంది	6028
మరింత	6007
అంతే	5998
తక్కువ	5979
ఉండే	5954
బట్టి	5926
ప్రత్యేక	5903
చేస్తూ	5888
ఇదే	5883
ఉత్పత్తి	5854
పద్ధతి	5850
మాకు	5842
భయం	5842
విని	5827
పెట్టి	5783
అయింది	5752
కాకుండా	5743
వైపు	5743
ఉయ్యాలో	5739
మరొక	5722
వాని	5718
మహా	5713
గానీ	5691
అవుతుంది	5682
మొదట	5656
కొడుకు	5612
పెళ్ళి	5602
కొంచెం	5600
వున్నాయి	5590
చేయు	5561
సరే	5547
మానవ	5520
ప్రభుత్వ	5488
జిల్లా	5470
ఇంట్లో	5468
చేత	5451
రూచూ	5451
చుట్టూ	5437
కావాలి	5437
ప్రకృతి	5436
వేరు	5420
లేవు	5405
ఆత్మ	5399
ప్రపంచ	5397
కారు	5396
మొదలైన	5394
ఓం	5382
తెలియదు	5379
ఇతి	5359
పోయింది	5356
కళ్ళు	5356
ఇంటి	5345
చేయాలి	5345
నది	5345
రచన	5327
తెలంగాణ	5318
పూర్తి	5313
అయి	5299
అతన్ని	5296
చేతులు	5275
వాళ్లు	5240
పది	5230
పైకి	5214
అన్నది	5201
వీరి	5197
మిక్కిలి	5195
యని	5193
తాము	5176
ఏర్పాటు	5166
పోయి	5151
ఒకసారి	5149
ఎన్ని	5132
ఎవరో	5128
మనస్సు	5128
పిల్లలు	5113
నీరు	5101
మిగిలిన	5084
పూ	5080
చాల	5075
పట్ల	5074
తయారు	5068
అటువంటి	5040
నాటక	5040
ఆధునిక	5040
ఎవరూ	5032
చూచి	5029
ఉండి	5023
ఇందులో	5022
సంబంధం	5003
చెప్పు	4997
గూర్చి	4996
సంఖ్య	4987
పైన	4970
అభివృద్ధి	4965
ఆమెకు	4965
ముఖ్యంగా	4942
చెప్పింది	4933
ఉంటారు	4907
ఇలాంటి	4904
ఆర్థిక	4902
ప్రకాశం	4902
వరకూ	4901
ఆఫ్	4856
ఉన్నాడు	4842
అలాంటి	4833
లేకపోతే	4827
అమెరికా	4818
గారు	4815
ప్రయత్నం	4814
అందుకు	4814
దూరంగా	4786
ఉండేది	4785
ఇట్లు	4783
వాడి	4770
తగిన	4759
మొదలగు	4727
కావున	4727
చెప్పారు	4721
రచనలు	4709
గట్టిగా	4696
నూతన	4690
కూర్చుని	4688
మొదలు	4684
మత	4666
మున	4661
వుంటే	4659
పరమాత్మ	4658
ఏమి	4640
పార్టీ	4637
తీసుకుని	4635
బాధ	4634
ముఖం	4634
మనము	4624
చూస్తే	4618
వచ్చారు	4613
యే	4606
ఎక్కడ	4602
జీవితంలో	4597
నాటి	4592
పనులు	4588
నవల	4586
పాత్ర	4572
తనను	4561
బయట	4552
భాగం	4550
కింద	4545
భర్త	4519
ఏది	4517
ఉండదు	4497
మని	4495
మము	4493
సినిమా	4479
ఆమెను	4476
కలిగిన	4461
అత్యంత	4453
కోపం	4442
గూడ	4440
రోజులు	4439
ఇల్లు	4436
క్రింద	4433
రాసిన	4427
జాతీయ	4406
అన్నాను	4384
లాంటి	4363
యందు	4362
శాతం	4361
దేశంలో	4357
కంటే	4349
ఆయా	4341
రి	4316
అతడి	4314
మరీ	4313
స్వామి	4309
లోని	4307
ఎందుకంటే	4296
విషయాలు	4296
సీత	4295
చేతిలో	4285
మరల	4282
కలిపి	4267
దేశ	4251
మార్పు	4245
బయటకు	4231
జీవిత	4201
అప్పుడే	4197
కాస్త	4180
అందరికీ	4166
దాదాపు	4165
ఉదా	4165
ఆయనకు	4146
నిజంగా	4145
చేస్తే	4138
పడి	4128
నున్న	4128
అందు	4127
మానసిక	4123
నమః	4114
విధానం	4096
కాంగ్రెస్	4087
వెనుక	4081
తెలుగులో	4073
పరిస్థితి	4070
వేసి	4064
అటు	4064
విషయాన్ని	4051
మళ్లీ	4050
నై	4037
ఇందు	4029
బయటికి	4024
సాంఘిక	4019
సమాధానం	4015
వారిలో	4003
తప్పు	3991
ఇద్దరు	3987
దగ్గరకు	3977
ప్రాచీన	3961
చేస్తారు	3926
డి	3901
ప్రశ్న	3900
పైగా	3893
సమస్య	3890
జాతి	3881
అమ్మాయి	3864
తీసి	3862
తీసుకొని	3858
క్రీ	3856
ఫోన్	3850
ప్రభావం	3844
బ్రహ్మ	3836
నిలబడి	3827
వానిని	3814
క్రింది	3801
ఈయన	3797
చేయడానికి	3797
గాలి	3789
ఇటువంటి	3788
అవును	3786
శరీరం	3786
ఆలోచన	3782
పరిచయం	3776
రచించిన	3768
వున్నారు	3764
మంచిది	3763
దారి	3759
జనం	3757
లేదని	3756
ఎవరి	3736
గనుక	3730
వెనక్కి	3728
వద్ద	3726
రెండో	3711
చూసింది	3709
దూరం	3706
పాపం	3705
ముగా	3705
కూడిన	3701
చెట్టు	3689
భారతీయ	3680
లోపల	3646
లోపలికి	3645
వెళ్లి	3633
పాత	3632
ముందుగా	3623
చక్కగా	3612
విద్య	3610
ఇచ్చిన	3607
నిజం	3595
చెయ్యి	3595
వ్యవస్థ	3591
సమయం	3590
రూపంలో	3580
చదువు	3569
సంవత్సరాల	3556
ఎప్పుడు	3553
తొలి	3548
కన్నా	3544
ఒకరు	3539
గారి	3539
బుద్ధి	3530
శ్లో	3520
సమాజం	3516
రాలేదు	3504
నవ్వుతూ	3490
చివరకు	3484
విద్యా	3482
అడిగింది	3480
సార్	3467
ఇద్దరూ	3459
కలదు	3459
వస్తువు	3458
జరుగుతుంది	3441
అందువల్ల	3439
చాలు	3437
ఇట్టి	3437
పాట	3435
మనసులో	3431
స్పష్టంగా	3421
చేస్తుంది	3418
సాహిత్యం	3412
సంవత్సరం	3410
పాలు	3406
భక్తి	3406
వస్తే	3398
ఇతడు	3390
కోరిక	3388
వెంట	3383
సహాయం	3370
పత్రిక	3363
స్వయంగా	3354
గాంధీ	3350
కర్మ	3340
ముందే	3339
దేశం	3335
సమ	3334
సమాజంలో	3332
పిల్ల	3326
మి	3318
తరగతి	3305
నీళ్ళు	3300
ఇష్టం	3296
డాక్టర్	3287
ఇంకో	3285
ప్రపంచంలో	3267
రై	3266
కూతురు	3264
వచ్చాయి	3260
ఉద్యోగం	3251
తలుపు	3251
రోజుల్లో	3244
పుస్తకం	3241
సరిగ్గా	3229
పేరుతో	3228
వ్రాసిన	3228
కొరకు	3225
మూ	3210
నాన్న	3209
భావన	3206
శాంతి	3198
సత్యం	3189
భాషలో	3183
అక్కడి	3171
దీన్ని	3170
పద	3168
పుట	3168
వీటిని	3167
నేడు	3165
కృషి	3163
ముఖ్య	3159
ఆరు	3146
వుండే	3136
క్రమంగా	3135
ఉదయం	3122
వేరే	3119
మేం	3117
చివరికి	3116
నమ్మకం	3116
కనీసం	3114
బాబా	3110
ఏదైనా	3107
నీటి	3107
బంగారు	3101
ఏమిటో	3099
ఇదంతా	3099
భోజనం	3098
ఉన్నత	3093
